"","log2foldChange","pValues","FDR","celltype","gene"
"COL27A11",-0.166162622891654,0.00283019693829706,0.0428332967460057,"Astro","COL27A11"
"CD47",-0.0489802769101697,0.00128076984502994,0.0270320027658993,"Astro","CD47"
"MAML32",-0.108465253634225,1.47109210182588e-05,0.0020117184492469,"Astro","MAML32"
"TMEM261",0.198810935154138,0.000203728745743576,0.00859184160999665,"Astro","TMEM261"
"SLC39A101",-0.106479340144846,0.000144213294778142,0.00739690947830794,"Astro","SLC39A101"
"FAM163B",0.09332106614962,0.0029167462061168,0.0436685091817057,"Astro","FAM163B"
"WDR452",-0.112834830886372,3.96572745087343e-06,0.000843598356077465,"Astro","WDR452"
"ZNF1001",-0.127362356741587,0.0019709918611121,0.0341876685671495,"Astro","ZNF1001"
"CXorf40B1",-0.0702719905392071,0.00121784408240495,0.0262711267128368,"Astro","CXorf40B1"
"NPSR1-AS11",0.15627769285566,0.00275639693362452,0.0419651843294166,"Astro","NPSR1-AS11"
"PGAP11",0.122162796813456,9.32607792541899e-05,0.00580643128072021,"Astro","PGAP11"
"C6orf1411",-0.348842179556491,0.00231800157676789,0.0379300343480524,"Astro","C6orf1411"
"RAD54B2",-0.0813221788134304,0.00196716448260394,0.0341599673645828,"Astro","RAD54B2"
"ZNF7202",-0.0845566390237344,0.000600768621512098,0.0167602408143521,"Astro","ZNF7202"
"ZNF981",-0.209798588010534,0.000481845966299495,0.0145848869957373,"Astro","ZNF981"
"SPN1",-0.320075177954052,0.003275422025705,0.0471045668973688,"Astro","SPN1"
"DPP42",-0.174070760139248,8.33405653428412e-05,0.00550191421892653,"Astro","DPP42"
"ZNF7901",-0.0696763597373034,0.00058687428892487,0.0165231003845098,"Astro","ZNF7901"
"NRAP2",0.262967062100068,0.000475645307457019,0.0144830686461465,"Astro","NRAP2"
"ZNF3112",0.245818165678657,0.000180877662074242,0.00813763560025405,"Astro","ZNF3112"
"MPZL11",-0.0608904153419196,0.000728023730984061,0.019125920177962,"Astro","MPZL11"
"TMEM229B1",-0.0935271118548409,0.000659464555941468,0.0179084381893609,"Astro","TMEM229B1"
"HSD17B111",-0.125612352749199,3.34689066494747e-05,0.00306951960624763,"Astro","HSD17B111"
"SZT22",-0.0590866861172774,0.00108711431431896,0.02457169796828,"Astro","SZT22"
"CARD112",-0.221355341078489,0.00111852087582625,0.0249726905745697,"Astro","CARD112"
"DCAF12L2",0.117396364711864,0.00238100140695543,0.0383391917646809,"Astro","DCAF12L2"
"ANKRD35",0.0778514819481382,0.00292773305705287,0.0437018614329006,"Astro","ANKRD35"
"PLN1",-0.210383100428534,0.002021373728912,0.0345914637229232,"Astro","PLN1"
"NUDT162",0.0748823545991151,0.00105222079576421,0.0240894076351639,"Astro","NUDT162"
"TLK1",0.0667283631590161,0.00140165537482964,0.0282470443695932,"Astro","TLK1"
"RCSD12",-0.295146993322949,8.25476800600143e-13,1.26430026779918e-08,"Astro","RCSD12"
"GRIN3A1",0.0914903239705005,0.00342473190195838,0.0486578759019617,"Astro","GRIN3A1"
"UBE2J1",-0.0817685105028039,1.64173650331334e-05,0.00209540302372893,"Astro","UBE2J1"
"PNMA5",0.206731860968034,0.00125524779632781,0.0267019100674398,"Astro","PNMA5"
"CAPZA21",-0.0760909506139251,0.000203728745743576,0.00859184160999665,"Astro","CAPZA21"
"DMD1",0.040659390907928,0.00338683453207187,0.0482537280867096,"Astro","DMD1"
"EFCAB21",-0.19256962509264,2.40769600312621e-06,0.000659629612743818,"Astro","EFCAB21"
"SERTAD4-AS11",-0.251099706672495,0.000565988464354605,0.0161127868402512,"Astro","SERTAD4-AS11"
"NBPF202",0.101327052228513,0.000640233869538855,0.0175731576090629,"Astro","NBPF202"
"VWA72",-0.158167687864477,9.32607792541899e-05,0.00580643128072021,"Astro","VWA72"
"PRRC2A2",-0.0626327742834807,0.00130153144994863,0.0271214363094057,"Astro","PRRC2A2"
"VIT1",-0.209204728373167,0.00151183833207364,0.0293476754043599,"Astro","VIT1"
"CNEP1R11",-0.0414446350378213,0.00194056328879172,0.0339676198070102,"Astro","CNEP1R11"
"ATP6AP1L2",0.160359809430586,3.90998574178159e-05,0.00340257622847312,"Astro","ATP6AP1L2"
"TMEM191C1",-0.16402434528092,0.001464507455825,0.028830843436267,"Astro","TMEM191C1"
"RAB121",-0.055119768924154,0.00290579699732906,0.0435898009902957,"Astro","RAB121"
"XKR4",0.0538057334508117,0.00191802557119197,0.033766068561352,"Astro","XKR4"
"SLC48A1",-0.0676439912752373,0.00296092061173351,0.0440713897855301,"Astro","SLC48A1"
"GIMAP11",-0.152076114761838,0.00171559639915994,0.0320439932311386,"Astro","GIMAP11"
"SRA12",-0.0526957999063344,0.00198251504834376,0.0342218676418923,"Astro","SRA12"
"TMX2",-0.0746802710778587,0.000794833889444056,0.0204256306220221,"Astro","TMX2"
"SMIM72",-0.0610121222563054,0.000125939096849472,0.00686395619751192,"Astro","SMIM72"
"ST7-OT41",0.204869492456172,0.000197323254404907,0.00858105754343945,"Astro","ST7-OT41"
"IQCJ2",0.145727021590903,0.000224645530631086,0.00900699200823486,"Astro","IQCJ2"
"SOGA3",0.0830617045236597,0.00309713161237125,0.045133841841178,"Astro","SOGA3"
"BBIP11",-0.051960753964825,0.00341838898626973,0.0486128558158841,"Astro","BBIP11"
"C10orf105",0.294410714033886,0.000156058012389091,0.00763637226118632,"Astro","C10orf105"
"ZBED12",-0.0521210217526713,0.00309134397119624,0.045133841841178,"Astro","ZBED12"
"LINC006121",0.191495280241601,0.00128076984502994,0.0270320027658993,"Astro","LINC006121"
"SMTNL11",0.204063605814676,0.00234032412287217,0.0380918217491076,"Astro","SMTNL11"
"ARHGEF282",0.151686327597705,5.74937529474362e-07,0.000284056232304172,"Astro","ARHGEF282"
"SCRT21",-0.24690127418666,0.000613664918558334,0.0169961878709574,"Astro","SCRT21"
"TENM3",0.0831226622109495,0.00162352902782709,0.0307366756368352,"Astro","TENM3"
"C6orf2261",-0.186933111529805,0.000253201584430252,0.00955181149540331,"Astro","C6orf2261"
"HEPN1",-0.218261230374544,0.00180890014489815,0.0328902709083907,"Astro","HEPN1"
"AC008277.11",0.172961358088714,0.000341308639482673,0.01193401758592,"Astro","AC008277.11"
"DNAJC27-AS12",0.106080644768693,0.000869094977392041,0.0213660652868965,"Astro","DNAJC27-AS12"
"C4B2",0.307044337455053,0.000149677721186795,0.00750912649228872,"Astro","C4B2"
"SMIM131",-0.0791300929367162,0.00026842323477864,0.00988262082660975,"Astro","SMIM131"
"MPRIP-AS12",0.262920245926224,5.38257679784096e-05,0.00414269076561468,"Astro","MPRIP-AS12"
"RFPL1S2",-0.144995831751802,1.26972187776448e-05,0.00188476199995128,"Astro","RFPL1S2"
"SATB2-AS12",-0.128232965492216,0.00131466472258328,0.0272100066095751,"Astro","SATB2-AS12"
"AC084809.2",-0.175090783350184,0.00245960707521467,0.0392001477252735,"Astro","AC084809.2"
"BTBD9-AS1",0.239832321121496,0.00141571751907819,0.0283810595840335,"Astro","BTBD9-AS1"
"AC079341.11",-0.164432782001544,0.000987545557016537,0.0233054664888525,"Astro","AC079341.11"
"AC010894.31",-0.227813992050804,0.000938090700687508,0.0224848156052111,"Astro","AC010894.31"
"FAM155A-IT12",0.127157417061874,0.00293324063417484,0.0437018614329006,"Astro","FAM155A-IT12"
"RNF144A-AS1",-0.116441634517805,0.00250217652545031,0.0397133012060072,"Astro","RNF144A-AS1"
"NUTM2E2",-0.498719597194582,0.000464470321150209,0.0142847940536879,"Astro","NUTM2E2"
"UBAC2-AS1",0.148514801647647,0.00303400760179691,0.0447676882746835,"Astro","UBAC2-AS1"
"LINC00710",0.144779327871919,0.000250932927475398,0.00955181149540331,"Astro","LINC00710"
"ENO1-AS12",-0.208533482923491,0.000212251594071801,0.00869210003958211,"Astro","ENO1-AS12"
"AC005592.2",0.247913864431579,0.000527407296364498,0.0155941508708854,"Astro","AC005592.2"
"TSPAN191",0.20145860502663,0.000285772741462163,0.0103717898299396,"Astro","TSPAN191"
"PCAT7",-0.277239867438927,0.00332451990409703,0.0476317557073434,"Astro","PCAT7"
"MCTS11",-0.105877255874055,0.000247008587218064,0.00950548623575845,"Astro","MCTS11"
"DNM3-IT11",0.232155580579545,0.00187001616071012,0.0331879113759399,"Astro","DNM3-IT11"
"CHL1-AS12",0.133393328109639,0.00213392616721085,0.0358761944862803,"Astro","CHL1-AS12"
"ANKRD651",-0.194285836573519,0.000239331992683811,0.00932459889414513,"Astro","ANKRD651"
"NFAM11",-0.198183760974785,0.00229147199547324,0.0378191649597717,"Astro","NFAM11"
"ANKRD34C2",0.127661613400307,0.00317920264287522,0.0460668568384834,"Astro","ANKRD34C2"
"LINC006072",-0.234208317033324,0.00353421352197441,0.0492987379804736,"Astro","LINC006072"
"NEXN-AS11",0.232559578518985,0.00165914209173599,0.03125635950434,"Astro","NEXN-AS11"
"MORC2-AS11",-0.308847465288424,1.05203101969459e-05,0.00171413905294068,"Astro","MORC2-AS11"
"TRHDE-AS1",0.0971478428775923,0.000580658093748101,0.0163781940402319,"Astro","TRHDE-AS1"
"LINC002992",-0.155287321860736,0.000715904975825507,0.0189374794641511,"Astro","LINC002992"
"AC113607.11",-0.507527090770774,0.000386025782647735,0.0131088673376015,"Astro","AC113607.11"
"RBM142",0.12452643812474,0.00317327533815854,0.0460245123856403,"Astro","RBM142"
"LILRA22",-0.317034130614213,0.000439023076348827,0.0138927219780137,"Astro","LILRA22"
"ADAMTS9-AS11",0.284182525229183,0.000205594455112629,0.00859963701697259,"Astro","ADAMTS9-AS11"
"EGFL82",-0.292982955167409,1.73476629881229e-06,0.000553535013179356,"Astro","EGFL82"
"ARPC1A1",-0.0540178657990564,0.00356701468579256,0.0494410831923972,"Astro","ARPC1A1"
"PLEKHO22",-0.101720492051025,0.000501982341118887,0.0150163311261267,"Astro","PLEKHO22"
"USP27X2",0.10324179217243,0.00034206279186595,0.01193401758592,"Astro","USP27X2"
"LINC009962",-0.209971503541327,0.00355386113030135,0.049392864856348,"Astro","LINC009962"
"PEG101",0.135114862521094,0.000239872810413501,0.00932459889414513,"Astro","PEG101"
"TICAM22",-0.179447563193854,1.63746280546997e-05,0.00209540302372893,"Astro","TICAM22"
"C4A2",0.359889772986713,2.3404294015468e-06,0.000659629612743818,"Astro","C4A2"
"SBF2-AS11",-0.109760613103915,0.00019508180018589,0.00856124026259912,"Astro","SBF2-AS11"
"CKMT2-AS12",0.113456140366535,0.000828609335047921,0.0207030678231549,"Astro","CKMT2-AS12"
"LINC005991",-0.138068200225457,0.00252131175249067,0.0399342407457571,"Astro","LINC005991"
"TMEM200B1",-0.30190298815815,1.60365291092971e-05,0.00208148711727114,"Astro","TMEM200B1"
"AP5B11",-0.0689918798992979,0.00317327533815854,0.0460245123856403,"Astro","AP5B11"
"NAV2-AS41",0.378458440923316,7.01951214492964e-07,0.000325790448520431,"Astro","NAV2-AS41"
"FAM66D",0.350723682350692,0.00145289004437129,0.0286758555664829,"Astro","FAM66D"
"DENND5B-AS12",0.228012308750266,0.00186636924150501,0.0331879113759399,"Astro","DENND5B-AS12"
"CTSO2",-0.140383856484385,0.00360674151525355,0.0496770261219634,"Astro","CTSO2"
"TAS2R30",0.12315602757393,0.0013849508461219,0.0279840463841729,"Astro","TAS2R30"
"USP30-AS11",0.220851927618209,0.000879954044171547,0.0215293548570789,"Astro","USP30-AS11"
"HIF1A-AS11",0.177416286746121,0.00311455386620389,0.0453015261298944,"Astro","HIF1A-AS11"
"SSSCA1-AS11",-0.196299181351051,0.00303400760179691,0.0447676882746835,"Astro","SSSCA1-AS11"
"TAPT1-AS11",0.0888811193528216,0.000754411461240462,0.0197176893180186,"Astro","TAPT1-AS11"
"AC139100.22",0.220043909349726,0.000399774097962688,0.0132531170657934,"Astro","AC139100.22"
"AC027307.32",-0.188096760490062,0.000503063582766851,0.0150193408063491,"Astro","AC027307.32"
"RPS10-NUDT32",0.310062526334421,0.00038265842117818,0.0130525565325765,"Astro","RPS10-NUDT32"
"DOC2B2",0.174866448653888,0.00258934394248127,0.0403853277220398,"Astro","DOC2B2"
"DGCR92",-0.151670880117483,1.23013437736773e-05,0.00188407381237641,"Astro","DGCR92"
"GRIN2B",0.0873501366238223,0.00198636983113361,0.0342218676418923,"Astro","GRIN2B"
"ZBTB8B2",0.245494785517808,1.17770399555393e-06,0.000443803593714751,"Astro","ZBTB8B2"
"HS3ST13",-0.0849340590115251,2.05718222495216e-08,3.14563734017435e-05,"Oligo","HS3ST13"
"TMEM176A1",0.0792460627197065,0.00256973687725817,0.0421054590825278,"Oligo","TMEM176A1"
"CYP26B12",-0.110502072897056,2.92004623601943e-05,0.0030322540860142,"Oligo","CYP26B12"
"DBNDD1",-0.0372739768510466,0.00166241502878687,0.0334034010580552,"Oligo","DBNDD1"
"RBM5",0.0216761486537402,0.00262398574863762,0.0425486384755227,"Oligo","RBM5"
"SLC7A2",0.0830499528350321,0.00180183200718972,0.0345694017841129,"Oligo","SLC7A2"
"RBM62",0.0377571937786048,0.000232404669318093,0.0104757195821775,"Oligo","RBM62"
"CDC271",-0.0243700886382037,0.000336816292037639,0.0129364601784679,"Oligo","CDC271"
"CIAPIN12",-0.0358885231196613,0.00039370385877633,0.0140657142629646,"Oligo","CIAPIN12"
"MSL31",-0.027280563681952,0.00185909499664756,0.0352260490628722,"Oligo","MSL31"
"MAP3K141",0.0374806941308985,0.00021128833549178,0.0098200909969751,"Oligo","MAP3K141"
"CCL33",-0.357405292282143,0.00242695681326386,0.0406468747334257,"Oligo","CCL33"
"TNFRSF12A",0.158491529621135,0.00325112161520566,0.049074926572665,"Oligo","TNFRSF12A"
"HEATR5B1",-0.0248448913586454,0.000811558590106781,0.0220027347541184,"Oligo","HEATR5B1"
"UBE3C2",-0.0331428568156049,3.23575608605924e-06,0.000933546156828904,"Oligo","UBE3C2"
"VTA11",-0.0362201934375985,0.000179223597753553,0.00898527224016256,"Oligo","VTA11"
"FUZ3",-0.0629535448732232,1.74755240940564e-05,0.00235623288164351,"Oligo","FUZ3"
"SLC6A133",-0.101705639589896,0.00258934394248127,0.0422557718511004,"Oligo","SLC6A133"
"DCN2",-0.0693561039217858,0.000451579444112962,0.0155871360720797,"Oligo","DCN2"
"MAP4K33",-0.0268936660378696,9.14969971962388e-05,0.00603051975917107,"Oligo","MAP4K33"
"TMEM1593",-0.062313937908228,0.00154825685003837,0.0321226533160606,"Oligo","TMEM1593"
"RNF141",-0.0303771677401556,0.00241770129809503,0.0405807580122624,"Oligo","RNF141"
"TACC33",-0.0593282368787222,3.7098833728454e-05,0.00347638419623948,"Oligo","TACC33"
"MTMR111",0.0470893279857754,0.00136569435812037,0.0297053092887888,"Oligo","MTMR111"
"CLCA4",-0.0954118139748896,0.000188932342736762,0.00922161619590714,"Oligo","CLCA4"
"SLC11A11",0.153012899010508,4.27377393637733e-06,0.00108917128768576,"Oligo","SLC11A11"
"AQR1",-0.0216253105410935,0.000625491379595329,0.0187264302121983,"Oligo","AQR1"
"BIRC32",0.0761827043710532,0.000109345552643211,0.0066087068990804,"Oligo","BIRC32"
"CD442",0.125453619621344,9.30385634178826e-05,0.00605701754833159,"Oligo","CD442"
"KCNG13",0.106352114940065,8.57740171828213e-05,0.00575250217869527,"Oligo","KCNG13"
"BTN3A12",0.0353258906697258,0.00175995354398134,0.0341949804841407,"Oligo","BTN3A12"
"TBPL11",-0.024915415837528,0.000362226631350744,0.0133787618840199,"Oligo","TBPL11"
"ANK12",-0.0482582147338748,0.000482886710292892,0.0162281773342607,"Oligo","ANK12"
"FAM13B3",-0.0611464130246198,0.000340556042826272,0.0130186061271413,"Oligo","FAM13B3"
"ALG13",-0.036111510160544,0.000139261496107979,0.00777170633936903,"Oligo","ALG13"
"TIMP23",0.0490126796101684,0.000193305886436536,0.00929509531289645,"Oligo","TIMP23"
"STAU2",-0.0243630331371634,0.00195192309716474,0.0360469276313358,"Oligo","STAU2"
"RTN4R2",-0.059356868909624,0.000516208967196481,0.0166878463370008,"Oligo","RTN4R2"
"DSG21",-0.181080757752528,0.00126285466906904,0.028278424920326,"Oligo","DSG21"
"POLR2B",-0.0292151418928039,0.000959561190150202,0.0243327531651521,"Oligo","POLR2B"
"FAM214A3",-0.0567318812666739,4.29837923061505e-05,0.00373446118268947,"Oligo","FAM214A3"
"FAM184B2",0.0753080307996594,0.00192176508675864,0.0357490388584262,"Oligo","FAM184B2"
"CC2D2A",-0.0323859858461795,0.00188834914556387,0.0354291371592849,"Oligo","CC2D2A"
"ERCC81",-0.0246553524241273,0.00309134397119624,0.0478438670683823,"Oligo","ERCC81"
"EPN3",-0.0889751329088799,0.000909529546892987,0.0235014228481928,"Oligo","EPN3"
"CLPTM1L1",-0.0194854897867174,0.0033183462259913,0.0496485637393669,"Oligo","CLPTM1L1"
"HEXB1",-0.033158462309844,0.00116248679289132,0.0273590765059627,"Oligo","HEXB1"
"JKAMP2",-0.0360866081063342,4.6998711882582e-05,0.00397048233920752,"Oligo","JKAMP2"
"MAPK93",-0.0316625024263661,0.000828609335047921,0.0223461469880384,"Oligo","MAPK93"
"HERPUD12",-0.0441984917403104,2.71961916182124e-05,0.00292857018333864,"Oligo","HERPUD12"
"FSTL41",-0.0519681643859908,0.00263896151929635,0.0427461446944496,"Oligo","FSTL41"
"LY753",-0.105383761530705,0.000337561154352802,0.0129364601784679,"Oligo","LY753"
"OPN33",-0.0835255223729643,1.63319971243313e-05,0.00228216298837857,"Oligo","OPN33"
"FOXC12",-0.0963917795792084,0.00114610627408103,0.0272129053369146,"Oligo","FOXC12"
"CCDC85A1",0.0303003576394811,0.00203316689825729,0.036879187474795,"Oligo","CCDC85A1"
"ATG52",-0.0295881549320587,0.00131730600806665,0.0289826275817944,"Oligo","ATG52"
"CDK171",-0.0252354546101223,0.000142544559253381,0.00781236148940304,"Oligo","CDK171"
