"","log2foldChange","pValues","FDR","celltype","gene"
"PLEKHO2",-0.00318477664780626,0.0009497430136805,0.0156906878032927,"RG","PLEKHO2"
"IGDCC3",-0.0108922902798477,1.02103714310408e-05,0.000664538730921087,"RG","IGDCC3"
"SLC24A11",-0.00637455642166516,0.00284654219707706,0.033709492005151,"RG","SLC24A11"
"MEGF11",0.0116238918365722,0.00488273942346141,0.0491614835891598,"RG","MEGF11"
"AAGAB",-0.00273115180797972,0.00464953262748164,0.0473818998968846,"RG","AAGAB"
"IQCH",-0.00666308571815888,0.000810651307691182,0.0140627556588217,"RG","IQCH"
"AC107871.1",-0.00623352035918959,0.00240716540378557,0.0301896323096371,"RG","AC107871.1"
"CLN6",-0.00620417674184799,1.63993613926464e-05,0.000897295227927815,"RG","CLN6"
"CORO2B1",0.00519633520162799,0.00414599875774619,0.0436818315592567,"RG","CORO2B1"
"KIF23",-0.00345527217728047,0.00100702691791831,0.0163361019920798,"RG","KIF23"
"RPLP1",0.00404934751504194,0.000183659883072957,0.00501599690808899,"RG","RPLP1"
"THSD4-AS1",0.0190816781414119,9.47739701766051e-08,3.07290621143183e-05,"RG","THSD4-AS1"
"STOML1",0.00269928126026303,0.00051467128736677,0.0102432913062726,"RG","STOML1"
"ARID3B",-0.00673311418954542,0.000131845478291759,0.00395560941469754,"RG","ARID3B"
"AC105020.1",-0.006914762477349,0.000190614980361541,0.00518839190221859,"RG","AC105020.1"
"TMEM266",0.00580079981435131,0.00315690464324754,0.0361643703666845,"RG","TMEM266"
"ADAMTS7",-0.00505570249928837,0.000218214888239701,0.00568097824367259,"RG","ADAMTS7"
"RASGRF11",0.023907061764408,4.63545851382973e-06,0.000396350650283965,"RG","RASGRF11"
"CTXND1",0.0131297496639872,0.000406081612817915,0.00865860411161686,"RG","CTXND1"
"CEMIP1",0.0205330313879376,3.57163495318181e-05,0.00154556996727366,"RG","CEMIP1"
"SH3GL3",0.0050408836457793,0.00400040383719774,0.042677143645875,"RG","SH3GL3"
"FANCI",-0.00465872896512329,5.31218001282135e-06,0.000435248211101266,"RG","FANCI"
"AC013391.3",0.0203640096973564,2.56998798598414e-07,5.84256001151691e-05,"RG","AC013391.3"
"TICRR",-0.00722073457308595,0.000762909545346811,0.0134591223094735,"RG","TICRR"
"MESP11",0.0160890460035631,3.31223229818992e-08,1.60652125520417e-05,"RG","MESP11"
"CIB1",0.0042798840182081,7.8910991199912e-05,0.00279320681788987,"RG","CIB1"
"BLM",-0.00694195622389521,8.52955713483466e-06,0.000588357186809258,"RG","BLM"
"PRC1",-0.00306150204227562,0.00346314357568283,0.0385241905272892,"RG","PRC1"
"SV2B1",0.0209708310419723,2.67394658347569e-07,5.9944683060946e-05,"RG","SV2B1"
"AC091078.11",-0.0107629669475932,1.55536564533543e-07,4.2551113358236e-05,"RG","AC091078.11"
"AC110023.1",-0.0153046895677211,2.27191556200225e-10,9.16774727156959e-07,"RG","AC110023.1"
"LINC02207",-0.0131606037677076,2.27908654448652e-06,0.000245244906097046,"RG","LINC02207"
"RHBDF1",-0.0101072315139193,0.00326692384469633,0.0370045037033288,"RG","RHBDF1"
"ARHGDIG",0.00620718926083917,0.00153057593309898,0.0218681371499192,"RG","ARHGDIG"
"SOX8",0.00579576740577523,0.00268819878949337,0.0323807587023974,"RG","SOX8"
"JPT2",-0.00394021180736141,5.43008069604033e-05,0.0020968165673394,"RG","JPT2"
"SNHG91",0.00154359024573559,0.000548509803238143,0.0106926289058779,"RG","SNHG91"
"CCNF",-0.00317094213899897,0.00128127289867481,0.0194644638608453,"RG","CCNF"
"ELOB",0.00307114046312497,0.00285739411142007,0.0337468427945399,"RG","ELOB"
"AJ003147.2",0.0121854050002103,1.43606805299592e-06,0.000183964876534977,"RG","AJ003147.2"
"OR1F1",0.0143070532680235,2.97053119368006e-07,6.40264832915732e-05,"RG","OR1F1"
"C16orf96",-0.0059640124714003,0.00253265453819331,0.0311582141013554,"RG","C16orf96"
"SEC14L5",-0.00809446088423535,0.00114973843191888,0.0180700370297982,"RG","SEC14L5"
"TVP23A",-0.0083649667369903,5.22754637789671e-05,0.00203811174119881,"RG","TVP23A"
"CPPED1",-0.00394963579298193,4.50258567212539e-05,0.00183063565072484,"RG","CPPED1"
"ITPRIPL2",-0.0142975060424825,5.76596728018388e-05,0.00219501127050585,"RG","ITPRIPL2"
"IL4R",-0.0215215640709391,0.000178587517303381,0.00490834321285647,"RG","IL4R"
"GSG1L",0.0140159446081413,0.000425860784329125,0.00892703755825508,"RG","GSG1L"
"ASPHD11",0.00658883328812058,4.45627605720277e-05,0.0018272939039389,"RG","ASPHD11"
"FBXL19-AS1",-0.00484017217558383,0.00451920937576512,0.0466994612895165,"RG","FBXL19-AS1"
"TGFB1I1",0.00501961004322799,0.00197571517361967,0.0258847553712623,"RG","TGFB1I1"
"ZNF423",-0.00567014505839915,0.001503708207532,0.0216708519444411,"RG","ZNF423"
"LPCAT2",-0.00777814181268561,0.000845887401919319,0.0144270317917041,"RG","LPCAT2"
"AC007336.11",-0.010137785518205,0.00215286901449009,0.027666766530959,"RG","AC007336.11"
"MT3",0.0231896345697467,3.10113272681136e-06,0.000308055762400755,"RG","MT3"
"MT2A1",0.00486746344946314,1.70536881741732e-06,0.00020853301577222,"RG","MT2A1"
"MT1X1",0.00454211106545127,4.62711939578776e-05,0.00186715835418526,"RG","MT1X1"
"HERPUD1",0.00468871895181215,0.00109890165988992,0.0174237442949737,"RG","HERPUD1"
"NLRC5",0.0142967162671823,2.01801640926405e-06,0.000229385935647401,"RG","NLRC5"
"ADGRG3",0.00603716574776434,0.00110805390231058,0.0175172360795251,"RG","ADGRG3"
"GINS3",-0.00422335995609208,0.00355397538403019,0.0390767824752256,"RG","GINS3"
"CDH11",-0.00731409225679557,0.00165611952683914,0.0229004211349662,"RG","CDH11"
"FBXL8",0.0157904352910854,1.74708176611611e-08,1.08460179949539e-05,"RG","FBXL8"
"AC074143.11",0.0197208486686186,1.08971611679997e-08,7.99504901875831e-06,"RG","AC074143.11"
"HSF4",0.0184966855140827,4.57933979485689e-06,0.000395268040795642,"RG","HSF4"
"NOL3",0.0123752374242064,2.42381562397475e-07,5.79177628127792e-05,"RG","NOL3"
"FHOD1",-0.00397908194005277,0.00413556820865682,0.0436003961175243,"RG","FHOD1"
"KCTD19",-0.00919007838536558,0.00400935895924016,0.0427444273190855,"RG","KCTD19"
"AC126773.41",-0.0107462554431421,0.00147838636199677,0.0214091158652229,"RG","AC126773.41"
"CALB2",0.023055177618155,2.12808207424281e-05,0.00108016895472809,"RG","CALB2"
"ZNF19",-0.00283004740818849,0.00308888845069381,0.0357147195434447,"RG","ZNF19"
"PMFBP1",-0.0136736969673537,3.38403585136868e-08,1.60652125520417e-05,"RG","PMFBP1"
"AC009075.11",-0.0104080932079639,3.51393193190948e-05,0.00153401885087796,"RG","AC009075.11"
"LINC01572",-0.008414445757364,3.51643005281486e-05,0.00153401885087796,"RG","LINC01572"
"AC004158.1",0.032240783686052,1.17891066423535e-06,0.000155973746159203,"RG","AC004158.1"
"AC004943.2",-0.00289050771042899,0.00151853673941679,0.0218121136431127,"RG","AC004943.2"
"AC004943.31",-0.0052305329901033,0.00354938354008255,0.0390528968783043,"RG","AC004943.31"
"AC004943.1",-0.00621152974189901,5.08104399952751e-07,8.81861625767458e-05,"RG","AC004943.1"
"RFWD3",-0.00327991550527383,0.000281022962375331,0.00668690028664126,"RG","RFWD3"
"LDHD",0.00906124468861332,0.00190751997028009,0.0252164454056436,"RG","LDHD"
"AC105411.1",-0.0118015868829619,0.00397712572869962,0.0425131035675103,"RG","AC105411.1"
"CDYL2",-0.015277487911944,0.0035719016723577,0.0391405735869149,"RG","CDYL2"
"C16orf74",0.00561364371049265,0.0035957174802181,0.0393481192191189,"RG","C16orf74"
"RPL13",0.00356573807101635,0.00253978019717152,0.0311899561717381,"RG","RPL13"
"AC010538.1",-0.0039487446159038,0.00384967785215532,0.0414251001410927,"RG","AC010538.1"
"VPS9D1-AS1",-0.00814756427856636,0.000139405427192712,0.00409862112990448,"RG","VPS9D1-AS1"
"FANCA",-0.00295875098650305,0.0011002506414443,0.0174280133499042,"RG","FANCA"
"AC005696.4",0.00554186578583846,0.000700840923783226,0.0126112300454683,"RG","AC005696.4"
"TRPV3",-0.0113627442885992,2.82277250398126e-08,1.51874569955872e-05,"RG","TRPV3"
"HASPIN",-0.00673032165208102,0.000501218725881538,0.0100499024278931,"RG","HASPIN"
