"","log2foldChange","pValues","FDR","celltype","gene"
"SLC22A15",0.0218604322778115,0.00316312460058587,0.0481890546692607,"End","SLC22A15"
"TTF23",-0.0404822245864396,0.00211182555987596,0.0385471773880973,"End","TTF23"
"ITGA104",0.0319173206333954,0.000394515552500964,0.0152818737453143,"End","ITGA104"
"PDE4DIP4",0.0879043551589458,0.000397213321428942,0.0152861355900689,"End","PDE4DIP4"
"OTUD7B",0.0169865727872871,0.00210195143290946,0.0385471773880973,"End","OTUD7B"
"C1orf544",-0.0509560114369139,0.00140288926094989,0.0308522501178253,"End","C1orf544"
"TARS24",-0.0183736248909336,0.00213455492991249,0.0388062086258091,"End","TARS24"
"S100A46",0.194448240075021,2.20880397003094e-05,0.00260092278985597,"End","S100A46"
"SHC14",-0.0628764496409913,0.00217051897616808,0.0394074916645163,"End","SHC14"
"ZBTB7B4",0.0519593912498859,0.000238663188497399,0.0111444266272672,"End","ZBTB7B4"
"FAM189B4",0.0218795245259296,0.000296644583608983,0.0127594602445062,"End","FAM189B4"
"IQGAP36",-0.106358216438255,1.47439065176431e-07,0.00016752763780672,"End","IQGAP36"
"CD843",0.0281830195014203,0.000683909116141935,0.0204497824530598,"End","CD843"
"NIT14",-0.0388402652948434,0.000974806528936624,0.0247513724805417,"End","NIT14"
"DEDD3",0.0178552432136252,0.0014303060690605,0.0311537112646006,"End","DEDD3"
"ALDH9A14",-0.0355594514149189,0.000751711487187577,0.0215952470038133,"End","ALDH9A14"
"POGK5",0.0878244276926239,2.51655106917582e-05,0.00278968892912295,"End","POGK5"
"GPR1611",0.0248632281862724,0.0027286976351203,0.044880328413589,"End","GPR1611"
"F5",0.0561147431497822,0.00151346480374557,0.0321935921982384,"End","F5"
"ANKRD45",0.0207472758471479,0.00111351067434697,0.0271119965084301,"End","ANKRD45"
"ABL24",0.0226167096084042,0.000596736433170691,0.0188742103266842,"End","ABL24"
"C1orf21",0.034228020707129,0.00283973833045754,0.0456659741074616,"End","C1orf21"
"CAMSAP25",0.0223545045793365,9.72352512975063e-05,0.00610968963797925,"End","CAMSAP25"
"PKP1",0.0332065694322359,0.00326059750934606,0.0491794768140858,"End","PKP1"
"CSRP11",0.0901589250852854,0.0018671870225453,0.0365513852674577,"End","CSRP11"
"ADORA16",0.0957715432294082,1.51745652530518e-05,0.00217794944447749,"End","ADORA16"
"PRELP4",0.13026081465933,1.09855279902027e-06,0.000499292247154714,"End","PRELP4"
"TMCC25",0.0624912225156553,0.000179377427043243,0.00912616126020381,"End","TMCC25"
"CDK182",0.0535518431719995,0.00255353333953529,0.0437693097853554,"End","CDK182"
"MAPKAPK22",0.0429267273655203,7.94955844017405e-05,0.00555857586316785,"End","MAPKAPK22"
"TATDN34",-0.0351117438143372,0.00203400951862966,0.0382007159593877,"End","TATDN34"
"HLX",0.0394092197923239,0.00147540539855169,0.0316028546965294,"End","HLX"
"DUSP101",0.026338419897967,0.0017305973216997,0.0347521273657959,"End","DUSP101"
"ENAH1",0.0236683241969828,0.0016175763513208,0.033417656894332,"End","ENAH1"
"SRP95",-0.0374883073990562,0.000181530402490398,0.00920136445337018,"End","SRP95"
"PYCR24",-0.0267625674220278,0.00169676017434423,0.0343254079780172,"End","PYCR24"
"ITPKB4",0.073552588478238,9.7163412239037e-06,0.00161563795838935,"End","ITPKB4"
"AGT5",-0.0755596142910129,0.000407561220403001,0.015416905442949,"End","AGT5"
"GPR137B5",-0.0333978807474518,0.00275923778788366,0.0450026402365954,"End","GPR137B5"
"PLD53",0.0999289104661321,0.00101004424397663,0.0254745370554687,"End","PLD53"
"CNST6",0.0323754676445063,4.48595388948787e-05,0.00379912927224641,"End","CNST6"
"TRIM58",0.0581697923171413,0.00188876438542264,0.0366803692656789,"End","TRIM58"
"E2F62",0.0210794325171948,0.000477979213258798,0.0166454368058105,"End","E2F62"
"NCOA15",0.0201337345159134,0.000211990202496748,0.0102864285090504,"End","NCOA15"
"CENPO6",0.050800322788878,2.99337417626574e-05,0.00306193767899113,"End","CENPO6"
"EFR3B6",-0.0243884003231738,0.000107404175318259,0.00665661786574756,"End","EFR3B6"
"KIF3C",0.023314039789299,0.000898036005894404,0.0236384574138421,"End","KIF3C"
"HADHA5",-0.0429440333478075,9.73734851054752e-07,0.00049173609978265,"End","HADHA5"
"HADHB5",-0.0457029813765812,2.8951796886074e-05,0.00306013760109782,"End","HADHB5"
"ADGRF35",-0.157418336946159,1.83255038386386e-06,0.000713909270970965,"End","ADGRF35"
"ZNF5131",0.0291247049951382,0.000832873629010488,0.022577001852004,"End","ZNF5131"
"PPM1G5",0.0199115596998931,4.5990676271122e-05,0.00384713417764876,"End","PPM1G5"
"C2orf164",-0.0560976542002265,0.00228480688096056,0.0406701590364194,"End","C2orf164"
"DYNC2LI14",-0.0588341502813055,0.000826902072444414,0.0225496195155592,"End","DYNC2LI14"
"RHOQ2",0.0601302689903331,0.00153335836027214,0.0324756443314734,"End","RHOQ2"
"KCNK126",0.0937859368508445,7.48858496923055e-06,0.00152398292620087,"End","KCNK126"
"REL2",0.0267204401790702,0.00150309026869335,0.0320228684588029,"End","REL2"
"VPS543",0.0242169749610994,0.000753893478094253,0.0215952470038133,"End","VPS543"
"TCF7L13",0.0334011795286848,5.73157476420261e-05,0.00454360592499434,"End","TCF7L13"
"TGOLN2",0.00541202793868578,0.000797060188811898,0.0219998293005065,"End","TGOLN2"
"KRCC1",0.0164372940783863,0.00290340573656909,0.0461762297022284,"End","KRCC1"
"ZNF22",0.023131566573563,0.000907072828172941,0.0237157808288518,"End","ZNF22"
"ITPRIPL1",0.0414704105609723,0.000609610216134003,0.0190443959367675,"End","ITPRIPL1"
"CNNM35",0.0401231230892103,1.96680477988457e-05,0.0025062974928716,"End","CNNM35"
"LYG11",0.0668747807211933,0.00106964046517741,0.0263258984525162,"End","LYG11"
"MAP4K41",0.0566635857585602,0.000503994494703933,0.0171156614248529,"End","MAP4K41"
"IL1RL25",-0.0754557856500648,0.000884637129498069,0.023421412156711,"End","IL1RL25"
"NCK26",0.0387326443245541,2.16788018294234e-05,0.00260092278985597,"End","NCK26"
"TTL6",0.0403611050752017,0.00013156987549722,0.00744379772781989,"End","TTL6"
"POLR1B",0.013328897498075,0.00191444262424108,0.0369213934675066,"End","POLR1B"
"PSD45",0.057524122802203,1.17242589575137e-05,0.00182494072245677,"End","PSD45"
"TFCP2L12",0.0372581126376339,0.00115092951455152,0.0276283872023062,"End","TFCP2L12"
"GYPC6",0.0463208919250127,5.20638410477908e-05,0.00425084115381214,"End","GYPC6"
"ZEB2",0.0266434478184596,0.00264760155653711,0.0444581862356939,"End","ZEB2"
"EPC2",0.0133090732180534,0.00051576226325252,0.0173043962845409,"End","EPC2"
"KCNJ31",0.0303933204004427,0.000831676126884556,0.022577001852004,"End","KCNJ31"
"SLC38A11",0.0356673869206237,0.00186844998396905,0.0365513852674577,"End","SLC38A11"
